Problem ID;Items count;Known result;Brute force result;Time [s];Relative error;Cost to weight ration heuristics result;T
ime [s];Relative error
9000;4;473;473;0.00002799074066298868334355;0;473;0.0000228591048747740913972325;0
9001;4;326;326;0.0000172609567421763547285225;0;326;0.0000116628086095786180598125;0
9002;4;196;196;0.000017727469086559499450915;0;62;0.00000933024688766289444785;0.6836734693877551020408163265
9003;4;545;545;0.0000186604937753257888957;0;545;0.0000186604937753257888957;0
9004;4;243;243;0.000017727469086559499450915;0;243;0.0000088637345432797497254575;0
9005;4;563;563;0.0000186604937753257888957;0;563;0.0000107297839208123286150275;0
9006;4;410;410;0.00002985679004052126223312;0;410;0.00002052654315285836778527;0
9007;4;375;375;0.0000186604937753257888957;0;375;0.000008397222198896605003065;0
9008;4;235;235;0.0000153949073646437758389525;0;224;0.0000069976851657471708358875;0.0468085106382978723404255319
9009;4;224;224;0.0000186604937753257888957;0;163;0.0000088637345432797497254575;0.2723214285714285714285714286
9010;4;297;297;0.0000186604937753257888957;0;289;0.00001119629626519547333742;0.0269360269360269360269360269
9011;4;459;459;0.0000172609567421763547285225;0;459;0.00001306234564272805222699;0
9012;4;325;325;0.0000237921295635403808420175;0;325;0.0000107297839208123286150275;0
9013;4;431;431;0.0000219260801860078019524475;0;431;0.00001492839502026063111656;0
9014;4;472;472;0.000019593518464092078340485;0;472;0.00001119629626519547333742;0
9015;4;230;230;0.000017727469086559499450915;0;213;0.0000069976851657471708358875;0.0739130434782608695652173913
9016;4;452;452;0.000017727469086559499450915;0;452;0.000013995370331494341671775;0
9017;4;306;306;0.0000181939814309426441733075;0;306;0.00000933024688766289444785;0
9018;4;483;483;0.0000368544752062684330690074;0;483;0.00002239259253039094667484;0
9019;4;227;227;0.0000433856480276324591825024;0;227;0.00001679444439779321000613;0
9020;4;229;229;0.0000326558641068201305674749;0;229;0.00001679444439779321000613;0
9021;4;496;496;0.0000363879628618852883466149;0;496;0.0000209930554972415125076625;0
9022;4;286;286;0.0000480507714714639064064274;0;286;0.00001679444439779321000613;0
9023;4;387;387;0.0000373209875506515777913999;0;387;0.00002052654315285836778527;0
9024;4;393;393;0.0000349884258287358541794374;0;320;0.000015861419709026920561345;0.1857506361323155216284987277
9025;4;295;295;0.0000457182097495481827944649;0;219;0.0000209930554972415125076625;0.2576271186440677966101694915
9026;4;512;512;0.0000382540122394178672361849;0;494;0.0000163279320534100652837375;0.03515625
9027;4;184;184;0.0000429191356832493144601099;0;134;0.0000191270061197089336180925;0.2717391304347826086956521739
9028;4;317;317;0.0000727759257237705766932299;0;172;0.0000228591048747740913972325;0.4574132492113564668769716088
9029;4;372;372;0.0000387205245838010119585774;0;372;0.0000181939814309426441733075;0
9030;4;296;296;0.0000578475307035099455766699;0;296;0.000027057715974222393898765;0
9031;4;309;309;0.0000718429010350042872484449;0;309;0.0000247251542523066702868025;0
9032;4;501;501;0.0000597135800810425244662399;0;501;0.0000303233023849044069555124;0
9033;4;100;100;0.0000583140430478930902990624;0;100;0.0000331223764512032752898674;0
9034;4;253;253;0.0001460183637919242981088523;0;253;0.000025191666596689815009195;0
9035;4;585;585;0.0000606466047698088139110249;0;585;0.00002985679004052126223312;0
9036;4;584;584;0.0001352885798711119694938248;0;584;0.0000335888887955864200122599;0
9037;4;231;231;0.0000695103393130885636364824;0;99;0.00002799074066298868334355;0.5714285714285714285714285714
9038;4;251;251;0.0000727759257237705766932299;0;251;0.0000284572530073718280659425;0
9039;4;159;159;0.0000531824072596784983527449;0;159;0.00002425864190792352556441;0
9040;4;314;314;0.0000513163578821459194631749;0;314;0.0001096304009300390097622373;0
9041;4;401;401;0.0000601800924254256691886324;0;401;0.0000303233023849044069555124;0
9042;4;437;437;0.0000545819442928279325199224;0;437;0.0000489837961602301958512124;0
9043;4;398;398;0.0000569145060147436561318849;0;398;0.0000517828702265290641855674;0
9044;4;505;505;0.0003032330238490440695551245;0;505;0.0000368544752062684330690074;0
9045;4;319;319;0.0000667112652467896953021274;0;319;0.0000359214505175021436242224;0
9046;4;217;217;0.0000573810183591268008542774;0;217;0.0000321893517624369858450824;0
9047;4;330;330;0.0000527158949152953536303524;0;225;0.0000284572530073718280659425;0.3181818181818181818181818182
9048;4;254;254;0.0000713763886906211425260524;0;243;0.0000256581789410729597315875;0.0433070866141732283464566929
9049;4;462;462;0.0000662447529024065505797349;0;299;0.0000471177467826976169616424;0.3528138528138528138528138528
9050;10;798;798;0.001789541353053743155097627;0;798;0.0000401200616169504461257549;0
9051;10;942;942;0.0018375921245252070615040545;0;942;0.0000256581789410729597315875;0
9052;10;740;740;0.0009563503059854466809046234;0;736;0.0000237921295635403808420175;0.0054054054054054054054054054
9053;10;956;956;0.0024482567833227435031158359;0;956;0.0000527158949152953536303524;0
9054;10;1501;1501;0.0031937435096470087694990497;0;1371;0.0000550484566372110772423149;0.0866089273817455029980013324
9055;10;1351;1351;0.0028839793129766006738304302;0;1346;0.0000457182097495481827944649;0.0037009622501850481125092524
9056;10;1375;1375;0.0027878777700336728610175754;0;1375;0.0000457182097495481827944649;0
9057;10;1153;1153;0.0025616192830078476706572133;0;1140;0.0000466512344383144722392499;0.0112749349522983521248915872
9058;10;1234;1234;0.0023428249934921527958551311;0;1220;0.0000513163578821459194631749;0.0113452188006482982171799028
9059;10;1260;1260;0.0029049723684738421863380927;0;1222;0.0000531824072596784983527449;0.0301587301587301587301587302
9060;10;1319;1319;0.0025065708263706365934148984;0;1319;0.0000405865739613335908481474;0
