Problem ID;Items count;Known result;Brute force result;Time [s];Relative error;Cost to weight ration heuristics result;Time [s];Relative error
9113;15;2087;2087;0.0367655563167306669696158818;0;2014;0.000020873383424891064891585;0.0349784379492093914710110206
9114;15;1778;1778;0.0353003132376260187750951108;0;1778;0.000022242129878982282261525;0
9115;15;1874;1874;0.0343223438961778439642729801;0;1822;0.000021557756651936673576555;0.0277481323372465314834578442
9116;15;1634;1634;0.0344749591258090147010212902;0;1586;0.00002326868971955069528898;0.0293757649938800489596083231
9117;15;1817;1817;0.0340407243132485759904078248;0;1817;0.000024295249560119108316435;0
9118;15;1921;1921;0.0347750567858685141093806354;0;1921;0.000024979622787164717001405;0
9119;15;1769;1769;0.0343675125291628541374810001;0;1769;0.00002600618262773313002886;0
9120;15;1787;1787;0.0324187597651504834070289237;0;1733;0.000020873383424891064891585;0.0302182428651371012870733072
9121;15;2021;2021;0.0339958978668770886215422898;0;2021;0.000024979622787164717001405;0
9122;15;1778;1778;0.0348554706400463731298646104;0;1778;0.000022242129878982282261525;0
9123;15;1990;1990;0.0350631779144547153657530056;0;1990;0.000024979622787164717001405;0
9124;15;1470;1470;0.0345546886067598281128202952;0;1470;0.00002258431649250508660401;0
9125;15;2122;2122;0.0347500771630813493923792304;0;2122;0.000024979622787164717001405;0
9126;15;199;199;0.0271456640507640684893350698;0;182;0.00002121557003841386923407;0.0854271356783919597989949749
9127;15;1201;1201;0.0325097814043475493621299337;0;1201;0.00002326868971955069528898;0
9128;15;1915;1915;0.0365024148109316304302449166;0;1915;0.000023610876333073499631465;0
9129;15;1833;1833;0.03423953473570532531339161;0;1833;0.00002395306294659630397395;0
9130;15;1274;1274;0.0336810861824361086264560896;0;1272;0.000023610876333073499631465;0.0015698587127158555729984301
9131;15;1984;1984;0.0344640091541762849620617702;0;1984;0.00002532180940068752134389;0
9132;15;2238;2238;0.0340759695344414248376837799;0;2138;0.000022926503106027890946495;0.0446827524575513851653261841
9133;15;1948;1948;0.03429428459386897400818921;0;1948;0.00002326868971955069528898;0
9134;15;1609;1609;0.0324676924508842444280042787;0;1601;0.00002395306294659630397395;0.0049720323182100683654443754
9135;15;1763;1763;0.0341361943784214384019611399;0;1763;0.000024979622787164717001405;0
9136;15;2017;2017;0.0348869518084904711293732305;0;2017;0.000022242129878982282261525;0
9137;15;1846;1846;0.0348034582747909068698068904;0;1845;0.000022242129878982282261525;0.0005417118093174431202600217
9138;15;2011;2011;0.0354761971569767402071324009;0;2011;0.000020189010197845456206615;0
9139;15;1821;1821;0.03425664406638146553051586;0;1806;0.00002463743617364191265892;0.0082372322899505766062602965
9140;15;2167;2167;0.0344722216329008322662814102;0;2167;0.00002189994326545947791904;0
9141;15;1860;1860;0.035559006317449258858013771;0;1834;0.000026348369241255934371345;0.0139784946236559139784946237
9142;15;1439;1439;0.0434980779377918424080082618;0;1439;0.000024295249560119108316435;0
9143;15;1641;1641;0.0343493766386461455073292951;0;1641;0.0000205311968113682605491;0
9144;15;1776;1776;0.0352431680731677104499001157;0;1774;0.00002326868971955069528898;0.0011261261261261261261261261
9145;15;1995;1995;0.0345307355438132318088463452;0;1995;0.00002395306294659630397395;0
9146;15;2008;2008;0.034195392662560883553211045;0;1962;0.000022926503106027890946495;0.0229083665338645418326693227
9147;15;1381;1381;0.034280939315941584638832295;0;1380;0.00002258431649250508660401;0.0007241129616220130340333092
9148;15;1771;1771;0.0444623598146991050451309925;0;1771;0.000028401488922392760426255;0
9149;15;1873;1873;0.0469890657689514923100402343;0;1873;0.000022242129878982282261525;0
9150;20;1995;1995;1.2439126712387360721493630881;0;1937;0.000032507728284666412536075;0.0290726817042606516290726817
9151;20;2623;2623;1.2255393032122426157839734846;0;2516;0.000029085862149438369111225;0.0407929851315287838353030881
9152;20;2607;2607;1.2449248592415365273944337188;0;2564;0.000031823355057620803851105;0.0164940544687380130418105102
9153;20;2089;2089;1.1866285790153374883913191362;0;2042;0.00002874367553591556476874;0.0224988032551460028721876496
9154;20;2062;2062;1.2408791869098564116532335608;0;2062;0.00002942804876296117345371;0
9155;20;2723;2723;1.2325445475642814662833264098;0;2696;0.000027717115695347151741285;0.0099155343371281674623576937
9156;20;2193;2193;1.1319409988153499439840513663;0;2172;0.000026348369241255934371345;0.009575923392612859097127223
9157;20;2992;2992;1.2073514003302785193722107514;0;2950;0.00002600618262773313002886;0.0140374331550802139037433155
9158;20;2197;2197;1.2591714567089449633894542192;0;2197;0.000031138981830575195166135;0
9159;20;2551;2551;1.1837997222813444648919956392;0;2551;0.000030454608603529586481165;0
9160;20;2372;2372;1.2321322126949864870506319845;0;2355;0.000026348369241255934371345;0.0071669477234401349072512648
9161;20;2116;2116;1.2014695546304350355292360821;0;2112;0.000026348369241255934371345;0.0018903591682419659735349716
9162;20;2368;2368;1.100053654861000375720901648;0;2368;0.000027032742468301543056315;0
9163;20;2440;2440;1.1169545938895052050005782954;0;2429;0.0000273749290818243473988;0.0045081967213114754098360656
9164;20;1609;1609;1.2122042908832589305573330249;0;1609;0.00002942804876296117345371;0
9165;20;249;249;0.9757232285170111231180591723;0;228;0.00002669055585477873871383;0.0843373493975903614457831325
9166;20;2184;2184;1.1568751107829161280079058795;0;2184;0.00002600618262773313002886;0
9167;20;1903;1903;1.1084385956387631733291540942;0;1811;0.000024295249560119108316435;0.0483447188649500788229111929
9168;20;2359;2359;1.1924043468649889028881234555;0;2345;0.00002805930230886995608377;0.0059347181008902077151335312
9169;20;2550;2550;1.236963203304701438757835218;0;2469;0.00002669055585477873871383;0.0317647058823529411764705882
9170;20;2796;2796;1.2242807408477057414123136537;0;2763;0.000027032742468301543056315;0.011802575107296137339055794
9171;20;1953;1953;1.2457361837021990964904656544;0;1953;0.000031823355057620803851105;0
9172;20;2532;2532;1.2377906105361995796579639486;0;2532;0.00002942804876296117345371;0
9173;20;2347;2347;1.1881824484273445429105435224;0;2347;0.000026348369241255934371345;0
9174;20;2684;2684;1.2286176139874937636489685469;0;2684;0.000026348369241255934371345;0
9175;20;1903;1903;1.2990765752047473602013699783;0;1832;0.00002669055585477873871383;0.0373095112979506043089858119
9176;20;2335;2335;1.235605064635629428322512252;0;2327;0.00002805930230886995608377;0.0034261241970021413276231263
9177;20;2365;2365;1.1569083028844278400291269245;0;2360;0.00002600618262773313002886;0.0021141649048625792811839323
9178;20;2249;2249;1.1008146778894750925785882886;0;2249;0.000024979622787164717001405;0
9179;20;2041;2041;1.1793126292182199315489898309;0;1972;0.000028401488922392760426255;0.0338069573738363547280744733
9180;20;2273;2273;1.1198744722626952944550028025;0;2246;0.000027032742468301543056315;0.0118785745710514738231412231
9181;20;2435;2435;1.2399949767005134852322523202;0;2435;0.00003011242199000678213868;0
9182;20;2508;2508;1.2279568516367812284636300114;0;2420;0.000034560847965803238590985;0.0350877192982456140350877193
9183;20;1863;1863;1.146524992283691865060762077;0;1791;0.000035929594419894455960925;0.0386473429951690821256038647
9184;20;2959;2959;1.2546645168222361073945842809;0;2778;0.0000273749290818243473988;0.0611693139574180466373774924
9185;20;2411;2411;1.2052106808760798554056245898;0;2411;0.00003011242199000678213868;0
9186;20;2456;2456;1.2442367219617421678616963833;0;2405;0.000029770235376483977796195;0.0207654723127035830618892508
9187;20;2333;2333;1.201389482962870699313094592;0;2311;0.000024979622787164717001405;0.0094299185597942563223317617
9188;20;1983;1983;1.1721889882979021907471370957;0;1983;0.00003011242199000678213868;0
9189;20;2041;2041;1.217841130967820086491088434;0;1999;0.00003490303457932604293347;0.0205781479666829985301322881
9190;20;2338;2338;1.1262726775623446900507873372;0;2338;0.000025663996014210325686375;0
9191;20;2818;2818;1.2814974223082403327148880605;0;2818;0.000031823355057620803851105;0
9192;20;2441;2441;1.2033159935970040877612851434;0;2420;0.00002600618262773313002886;0.008603031544448996312986481
9193;20;1821;1821;1.097214874715215190895646086;0;1821;0.000027032742468301543056315;0
9194;20;2721;2721;1.1144922190185951049520562336;0;2721;0.00002805930230886995608377;0
9195;20;2421;2421;1.2076220699415750576071163866;0;2421;0.00002805930230886995608377;0
9196;20;2475;2475;1.2079019785914367115592691168;0;2452;0.00003148116844409799950862;0.0092929292929292929292929293
9197;20;2417;2417;1.1901794495038636290532859838;0;2417;0.00002805930230886995608377;0
9198;20;2033;2033;1.2015701574948107400059266721;0;1992;0.00003011242199000678213868;0.020167240531234628627643876
9199;20;2168;2168;1.1705844752670937611852249295;0;2070;0.000022926503106027890946495;0.0452029520295202952029520295
